unit_id,status,unit_action,unit_remove_candidate,gate_A,gate_B,gate_C,gate_D,gate_E,evidence_refs,gap_or_conflict,recommended_change,destination
.octon/cognition/practices/methodology/README.md::Prompt Snippets Library,Partially Aligned,move_or_merge,false,true,true,false,false,false,.octon/cognition/practices/methodology/README.md:680 Prompt Snippets Library,README.md:680 duplicate prompt library surface,merge into single prompt artifact,.octon/cognition/practices/methodology/playbooks/prompts.md
.octon/cognition/practices/methodology/README.md::Quick‑Start Page (tomorrow morning),Partially Aligned,move_or_merge,false,true,true,false,false,false,.octon/cognition/practices/methodology/README.md:712 Quick‑Start Page (tomorrow morning),README.md:712 operational checklist content belongs in playbook,move to quick-start playbook and keep hub link,.octon/cognition/practices/methodology/playbooks/quick-start.md
.octon/cognition/practices/methodology/README.md::Reliability & Ops (Google SRE),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/README.md:561 Reliability & Ops (Google SRE),none,none,
.octon/cognition/practices/methodology/README.md::Security Baseline (mapped to frameworks),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/README.md:553 Security Baseline (mapped to frameworks),none,none,
.octon/cognition/practices/methodology/README.md::Spec-First Planning (step-by-step),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/README.md:492 Spec-First Planning (step-by-step),none,none,
.octon/cognition/practices/methodology/README.md::System Guarantees (self‑reinforcing invariants),Partially Aligned,remediate,false,true,false,false,false,false,.octon/cognition/practices/methodology/README.md:161 System Guarantees (self‑reinforcing invariants),README.md:161 profile-first text lacks explicit pre-1.0 atomic default callout,add explicit pre-1.0 atomic default and transitional exception requirement,
.octon/cognition/practices/methodology/README.md::Test Strategy (pyramid + contracts),Partially Aligned,remediate,false,true,false,false,false,false,.octon/cognition/practices/methodology/README.md:535 Test Strategy (pyramid + contracts),README.md:547 provider-specific rollback rehearsal command appears in checklist,replace literal command with platform-neutral rollback check,
.octon/cognition/practices/methodology/README.md::Tooling Map,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/README.md:614 Tooling Map,none,none,
.octon/cognition/practices/methodology/README.md::Worked Example — “OAuth login + org billing” (sketch),Partially Aligned,move_or_merge,false,true,true,false,false,false,.octon/cognition/practices/methodology/README.md:656 Worked Example — “OAuth login + org billing” (sketch),README.md:656 long example better suited to examples surface,move to examples and keep pointer,.octon/cognition/practices/methodology/examples/oauth-billing.md
.octon/cognition/practices/methodology/architecture-and-repo-structure.md::Canonical Sources,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/architecture-and-repo-structure.md:20 Canonical Sources,none,none,
.octon/cognition/practices/methodology/architecture-and-repo-structure.md::Flag and Runtime Policy,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/architecture-and-repo-structure.md:39 Flag and Runtime Policy,none,none,
.octon/cognition/practices/methodology/architecture-and-repo-structure.md::Scaling Guidance (Solo to Small Team),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/architecture-and-repo-structure.md:45 Scaling Guidance (Solo to Small Team),none,none,
.octon/cognition/practices/methodology/architecture-and-repo-structure.md::Structural Baseline,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/architecture-and-repo-structure.md:32 Structural Baseline,none,none,
.octon/cognition/practices/methodology/audits/README.md::Companion Documents,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/README.md:75 Companion Documents,none,none,
.octon/cognition/practices/methodology/audits/README.md::Default Policy,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/README.md:40 Default Policy,none,none,
.octon/cognition/practices/methodology/audits/README.md::Machine Discovery,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/README.md:32 Machine Discovery,none,none,
.octon/cognition/practices/methodology/audits/README.md::Purpose,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/README.md:20 Purpose,none,none,
.octon/cognition/practices/methodology/audits/README.md::Required Artifacts,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/README.md:44 Required Artifacts,none,none,
.octon/cognition/practices/methodology/audits/README.md::Runtime Audit Records,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/README.md:83 Runtime Audit Records,none,none,
.octon/cognition/practices/methodology/audits/README.md::Scope,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/README.md:36 Scope,none,none,
.octon/cognition/practices/methodology/audits/ci-gates.md::Purpose,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/ci-gates.md:18 Purpose,none,none,
.octon/cognition/practices/methodology/audits/ci-gates.md::Required Gates (MUST),Partially Aligned,remediate,false,true,true,false,false,false,.octon/cognition/practices/methodology/audits/ci-gates.md:22 Required Gates (MUST),audits/ci-gates.md:24 gate scope broad and marker naming ambiguous,scope to current/changed bundle and explicit unsupported marker keys,
.octon/cognition/practices/methodology/audits/ci-gates.md::Required Repository Artifacts,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/ci-gates.md:42 Required Repository Artifacts,none,none,
.octon/cognition/practices/methodology/audits/doctrine.md::0) Terms,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/doctrine.md:18 0) Terms,none,none,
.octon/cognition/practices/methodology/audits/doctrine.md::1) Primary Rule,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/doctrine.md:24 1) Primary Rule,none,none,
.octon/cognition/practices/methodology/audits/doctrine.md::2) Non-Negotiable Constraints (MUST),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/doctrine.md:28 2) Non-Negotiable Constraints (MUST),none,none,
.octon/cognition/practices/methodology/audits/doctrine.md::3) Multi-Pass Contract (MUST),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/doctrine.md:41 3) Multi-Pass Contract (MUST),none,none,
.octon/cognition/practices/methodology/audits/doctrine.md::4) Convergence Rule (MUST),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/doctrine.md:52 4) Convergence Rule (MUST),none,none,
.octon/cognition/practices/methodology/audits/doctrine.md::5) Remediation Discipline (MUST),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/doctrine.md:68 5) Remediation Discipline (MUST),none,none,
.octon/cognition/practices/methodology/audits/exceptions.md::Default,Partially Aligned,remediate,false,true,false,false,false,false,.octon/cognition/practices/methodology/audits/exceptions.md:18 Default,audits/exceptions.md:20 approval authority specified without provenance requirements,add mandatory approval evidence schema/location,
.octon/cognition/practices/methodology/audits/exceptions.md::Exception Requirements (MUST),Partially Aligned,remediate,false,true,false,false,false,false,.octon/cognition/practices/methodology/audits/exceptions.md:30 Exception Requirements (MUST),audits/exceptions.md:30 checklist omits explicit approver identity/timestamp/reference fields,add approval provenance checklist entries,
.octon/cognition/practices/methodology/audits/exceptions.md::Strong Preference,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/exceptions.md:40 Strong Preference,none,none,
.octon/cognition/practices/methodology/audits/exceptions.md::What Qualifies,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/exceptions.md:22 What Qualifies,none,none,
.octon/cognition/practices/methodology/audits/findings-contract.md::Acceptance Criteria Requirements,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/findings-contract.md:54 Acceptance Criteria Requirements,none,none,
.octon/cognition/practices/methodology/audits/findings-contract.md::Finding ID Rule,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/findings-contract.md:18 Finding ID Rule,none,none,
.octon/cognition/practices/methodology/audits/findings-contract.md::Lifecycle Rules,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/findings-contract.md:47 Lifecycle Rules,none,none,
.octon/cognition/practices/methodology/audits/findings-contract.md::Required Finding Fields,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/findings-contract.md:32 Required Finding Fields,none,none,
.octon/cognition/practices/methodology/audits/findings-contract.md::Run Receipt Contract,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/findings-contract.md:67 Run Receipt Contract,none,none,
.octon/cognition/practices/methodology/audits/index.yml::files,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/index.yml:5 files,none,none,
.octon/cognition/practices/methodology/audits/index.yml::schema_version,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/index.yml:4 schema_version,none,none,
.octon/cognition/practices/methodology/audits/invariants.md::Allowed Patterns (MAY),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/invariants.md:30 Allowed Patterns (MAY),none,none,
.octon/cognition/practices/methodology/audits/invariants.md::Invariants (MUST),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/audits/invariants.md:20 Invariants (MUST),none,none,
.octon/cognition/practices/methodology/authority-crosswalk.md::Change Control Notes,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/authority-crosswalk.md:50 Change Control Notes,none,none,
.octon/cognition/practices/methodology/authority-crosswalk.md::Cognition Governance Mapping,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/authority-crosswalk.md:34 Cognition Governance Mapping,none,none,
.octon/cognition/practices/methodology/authority-crosswalk.md::Operational Rule,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/authority-crosswalk.md:44 Operational Rule,none,none,
.octon/cognition/practices/methodology/authority-crosswalk.md::Primary Precedence (Binding),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/authority-crosswalk.md:21 Primary Precedence (Binding),none,none,
.octon/cognition/practices/methodology/auto-tier-assignment.md::Classification Algorithm,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/auto-tier-assignment.md:453 Classification Algorithm,none,none,
.octon/cognition/practices/methodology/auto-tier-assignment.md::Classifier Output Contract (Required),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/auto-tier-assignment.md:93 Classifier Output Contract (Required),none,none,
.octon/cognition/practices/methodology/auto-tier-assignment.md::Edge Cases,Misaligned,remediate,false,true,true,false,false,false,.octon/cognition/practices/methodology/auto-tier-assignment.md:547 Edge Cases,auto-tier-assignment.md:580 blanket statement that documentation does not carry risk,replace with path/domain-aware risk escalation rules,
.octon/cognition/practices/methodology/auto-tier-assignment.md::Integration Points,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/auto-tier-assignment.md:674 Integration Points,none,none,
.octon/cognition/practices/methodology/auto-tier-assignment.md::Monitoring & Improvement,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/auto-tier-assignment.md:727 Monitoring & Improvement,none,none,
.octon/cognition/practices/methodology/auto-tier-assignment.md::Overview,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/auto-tier-assignment.md:22 Overview,none,none,
.octon/cognition/practices/methodology/auto-tier-assignment.md::See Also,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/auto-tier-assignment.md:771 See Also,none,none,
.octon/cognition/practices/methodology/auto-tier-assignment.md::Signal Extraction,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/auto-tier-assignment.md:46 Signal Extraction,none,none,
.octon/cognition/practices/methodology/auto-tier-assignment.md::T1 Criteria (Trivial),Partially Aligned,remediate,false,true,true,false,false,false,.octon/cognition/practices/methodology/auto-tier-assignment.md:378 T1 Criteria (Trivial),auto-tier-assignment.md:378 T1 rules lack governance-path exception,add governance-surface exception forcing T2/T3,
.octon/cognition/practices/methodology/auto-tier-assignment.md::T2 Triggers (Standard),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/auto-tier-assignment.md:298 T2 Triggers (Standard),none,none,
.octon/cognition/practices/methodology/auto-tier-assignment.md::T3 Triggers (Elevated Risk),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/auto-tier-assignment.md:132 T3 Triggers (Elevated Risk),none,none,
.octon/cognition/practices/methodology/auto-tier-assignment.md::Tier Override Rules,Partially Aligned,remediate,false,true,true,false,false,false,.octon/cognition/practices/methodology/auto-tier-assignment.md:618 Tier Override Rules,auto-tier-assignment.md:661 allows t3_to_t1 downgrade without explicit constitutional override linkage,add mandatory override artifact/evidence linkage for T3 downgrades,
.octon/cognition/practices/methodology/ci-cd-quality-gates.md::CI Configuration,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/ci-cd-quality-gates.md:281 CI Configuration,none,none,
.octon/cognition/practices/methodology/ci-cd-quality-gates.md::CI Health Objectives,Partially Aligned,remediate,false,true,true,false,false,false,.octon/cognition/practices/methodology/ci-cd-quality-gates.md:191 CI Health Objectives,ci-cd-quality-gates.md:191 duplicated CI numeric targets appear in tooling-and-metrics.md:43,retain numeric ownership here; reference elsewhere,
.octon/cognition/practices/methodology/ci-cd-quality-gates.md::Gate Checklist (Complete Reference),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/ci-cd-quality-gates.md:144 Gate Checklist (Complete Reference),none,none,
.octon/cognition/practices/methodology/ci-cd-quality-gates.md::Gate Waivers,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/ci-cd-quality-gates.md:236 Gate Waivers,none,none,
.octon/cognition/practices/methodology/ci-cd-quality-gates.md::Gates by Tier,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/ci-cd-quality-gates.md:76 Gates by Tier,none,none,
.octon/cognition/practices/methodology/ci-cd-quality-gates.md::Pipeline Overview,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/ci-cd-quality-gates.md:40 Pipeline Overview,none,none,
.octon/cognition/practices/methodology/ci-cd-quality-gates.md::Related Documentation,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/ci-cd-quality-gates.md:333 Related Documentation,none,none,
.octon/cognition/practices/methodology/ci-cd-quality-gates.md::Tier Override Rules,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/ci-cd-quality-gates.md:199 Tier Override Rules,none,none,
.octon/cognition/practices/methodology/ci-cd-quality-gates.md::Tiered Gate System,Partially Aligned,remediate,false,true,true,false,false,false,.octon/cognition/practices/methodology/ci-cd-quality-gates.md:22 Tiered Gate System,ci-cd-quality-gates.md:22 tier framing duplicated in flow-and-wip policy,declare canonical ownership and cross-link from duplicates,
.octon/cognition/practices/methodology/flow-and-wip-policy.md::Change Types → Tier Mapping,Partially Aligned,move_or_merge,false,true,true,false,false,false,.octon/cognition/practices/methodology/flow-and-wip-policy.md:201 Change Types → Tier Mapping,flow-and-wip-policy.md:201 overlaps auto-tier assignment classifier,reduce to examples and link classifier as canonical,.octon/cognition/practices/methodology/auto-tier-assignment.md
.octon/cognition/practices/methodology/flow-and-wip-policy.md::Definitions by Tier,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/flow-and-wip-policy.md:52 Definitions by Tier,none,none,
.octon/cognition/practices/methodology/flow-and-wip-policy.md::Flow & WIP Policy (Kanban for solo),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/flow-and-wip-policy.md:39 Flow & WIP Policy (Kanban for solo),none,none,
.octon/cognition/practices/methodology/flow-and-wip-policy.md::Pillar Alignment,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/flow-and-wip-policy.md:227 Pillar Alignment,none,none,
.octon/cognition/practices/methodology/flow-and-wip-policy.md::Risk Tiers Overview,Partially Aligned,remediate,false,true,true,false,false,false,.octon/cognition/practices/methodology/flow-and-wip-policy.md:22 Risk Tiers Overview,flow-and-wip-policy.md:22 duplicates dedicated risk tier doctrine,keep concise summary and link risk-tiers contract,
.octon/cognition/practices/methodology/flow-and-wip-policy.md::Risk Tiers Overview table,Partially Aligned,move_or_merge,false,true,true,false,false,false,flow-and-wip-policy.md:26 risk tiers table,flow-and-wip-policy.md:26 duplicate tier table,summarize-and-link to risk-tiers contract,.octon/cognition/practices/methodology/risk-tiers.md
.octon/cognition/practices/methodology/flow-and-wip-policy.md::Tiered Gates Reference,Partially Aligned,move_or_merge,false,true,true,false,false,false,.octon/cognition/practices/methodology/flow-and-wip-policy.md:151 Tiered Gates Reference,flow-and-wip-policy.md:151 duplicated gate matrices,move matrix authority to ci-cd-quality-gates and keep brief reference,.octon/cognition/practices/methodology/ci-cd-quality-gates.md
.octon/cognition/practices/methodology/flow-and-wip-policy.md::Tiered Gates Reference table,Partially Aligned,move_or_merge,false,true,true,false,false,false,flow-and-wip-policy.md:151 tiered gates reference,flow-and-wip-policy.md:151 duplicate table block,move table ownership to ci-cd-quality-gates,.octon/cognition/practices/methodology/ci-cd-quality-gates.md
.octon/cognition/practices/methodology/implementation-guide.index.yml::schema_version,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/implementation-guide.index.yml:4 schema_version,none,none,
.octon/cognition/practices/methodology/implementation-guide.index.yml::sections,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/implementation-guide.index.yml:6 sections,none,none,
.octon/cognition/practices/methodology/implementation-guide.index.yml::source,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/implementation-guide.index.yml:5 source,none,none,
.octon/cognition/practices/methodology/implementation-guide.md::1) Executive Summary,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/implementation-guide.md:20 1) Executive Summary,none,none,
.octon/cognition/practices/methodology/implementation-guide.md::2) Overview table — Kits vs External,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/implementation-guide.md:28 2) Overview table — Kits vs External,none,none,
".octon/cognition/practices/methodology/implementation-guide.md::3) Lifecycle matrix (A→J): responsibilities, artifacts, commands, gates",Aligned,keep,false,false,false,false,false,false,".octon/cognition/practices/methodology/implementation-guide.md:41 3) Lifecycle matrix (A→J): responsibilities, artifacts, commands, gates",none,none,
.octon/cognition/practices/methodology/implementation-guide.md::4) File tree (minimum surfaces),Partially Aligned,remediate,false,false,false,false,true,false,.octon/cognition/practices/methodology/implementation-guide.md:99 4) File tree (minimum surfaces),implementation-guide.md:99 rigid tree can over-constrain host repos,mark as reference profile and note variants,
.octon/cognition/practices/methodology/implementation-guide.md::5) Concrete snippets (minimal),Partially Aligned,remediate,false,true,false,true,false,false,.octon/cognition/practices/methodology/implementation-guide.md:113 5) Concrete snippets (minimal),implementation-guide.md:124 profile receipt snippet marks transitional_exception_note required false,set conditional required rule for pre-1.0 transitional mode,
.octon/cognition/practices/methodology/implementation-guide.md::6) Command cookbook (copy‑paste),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/implementation-guide.md:154 6) Command cookbook (copy‑paste),none,none,
.octon/cognition/practices/methodology/implementation-guide.md::7) Operating Rules (one page),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/implementation-guide.md:170 7) Operating Rules (one page),none,none,
.octon/cognition/practices/methodology/implementation-guide.md::Canonical References,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/implementation-guide.md:189 Canonical References,none,none,
.octon/cognition/practices/methodology/implementation-guide.md::Stop‑the‑line triggers (enforced),Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/implementation-guide.md:180 Stop‑the‑line triggers (enforced),none,none,
.octon/cognition/practices/methodology/index.yml::files,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/index.yml:5 files,none,none,
.octon/cognition/practices/methodology/index.yml::schema_version,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/index.yml:4 schema_version,none,none,
.octon/cognition/practices/methodology/methodology-as-code.md::Breaking Change Procedure,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/methodology-as-code.md:103 Breaking Change Procedure,none,none,
.octon/cognition/practices/methodology/methodology-as-code.md::CI Integration Baseline,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/methodology-as-code.md:66 CI Integration Baseline,none,none,
.octon/cognition/practices/methodology/methodology-as-code.md::Canonical Methodology Contract Surfaces,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/methodology-as-code.md:26 Canonical Methodology Contract Surfaces,none,none,
.octon/cognition/practices/methodology/methodology-as-code.md::Deprecation and Removal Rules,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/methodology-as-code.md:113 Deprecation and Removal Rules,none,none,
.octon/cognition/practices/methodology/methodology-as-code.md::Deterministic Validation Expectations,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/methodology-as-code.md:49 Deterministic Validation Expectations,none,none,
.octon/cognition/practices/methodology/methodology-as-code.md::Overview,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/methodology-as-code.md:20 Overview,none,none,
.octon/cognition/practices/methodology/methodology-as-code.md::Related Documents,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/methodology-as-code.md:119 Related Documents,none,none,
.octon/cognition/practices/methodology/methodology-as-code.md::Source of Truth Hierarchy,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/methodology-as-code.md:76 Source of Truth Hierarchy,none,none,
.octon/cognition/practices/methodology/methodology-as-code.md::Version and Release-State Contract,Partially Aligned,remediate,false,false,true,false,false,false,.octon/cognition/practices/methodology/methodology-as-code.md:39 Version and Release-State Contract,methodology-as-code.md:44 hardcoded version literal can drift from version.txt,remove fixed literal or add sync enforcement,
.octon/cognition/practices/methodology/migrations/README.md::Companion Documents,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/migrations/README.md:101 Companion Documents,none,none,
.octon/cognition/practices/methodology/migrations/README.md::Default Policy,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/migrations/README.md:41 Default Policy,none,none,
.octon/cognition/practices/methodology/migrations/README.md::Machine Discovery,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/migrations/README.md:27 Machine Discovery,none,none,
.octon/cognition/practices/methodology/migrations/README.md::Purpose,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/migrations/README.md:20 Purpose,none,none,
.octon/cognition/practices/methodology/migrations/README.md::Required Artifacts,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/migrations/README.md:74 Required Artifacts,none,none,
.octon/cognition/practices/methodology/migrations/README.md::Required Plan Sections,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/migrations/README.md:91 Required Plan Sections,none,none,
.octon/cognition/practices/methodology/migrations/README.md::Runtime Migration Records,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/migrations/README.md:109 Runtime Migration Records,none,none,
.octon/cognition/practices/methodology/migrations/README.md::Scope,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/migrations/README.md:31 Scope,none,none,
.octon/cognition/practices/methodology/migrations/README.md::Selection Contract,Aligned,keep,false,false,false,false,false,false,.octon/cognition/practices/methodology/migrations/README.md:58 Selection Contract,none,none,
