file,status,artifact_action,salvageability,gate_A,gate_B,gate_C,gate_D,gate_E,evidence_refs,key_gaps,recommended_changes
.harmony/cognition/practices/methodology/authority-crosswalk.md,Aligned,keep,high,false,false,false,false,false,authority-crosswalk.md:21 primary precedence; :44 operational rule sentence,none,none
.harmony/cognition/practices/methodology/auto-tier-assignment.md,Misaligned,remediate,medium,true,true,false,false,false,auto-tier-assignment.md:580 blanket doc-change low risk; :661 allows t3_to_t1 downgrade,classifier can under-tier governance-surface documentation and allows aggressive downgrade semantics,add hard governance/doc-surface triggers and require explicit override evidence for T3 downgrades
.harmony/cognition/practices/methodology/ci-cd-quality-gates.md,Partially Aligned,remediate,high,true,true,false,false,false,ci-cd-quality-gates.md:76 gates by tier duplicates flow-and-wip table; flow-and-wip-policy.md:151 overlapping matrices,duplicated gate matrix ownership with flow policy,declare this file canonical for gate matrices and replace duplicates elsewhere with summarize-and-link
.harmony/cognition/practices/methodology/flow-and-wip-policy.md,Partially Aligned,move_or_merge,medium,true,true,false,false,false,flow-and-wip-policy.md:151 tiered gates reference duplicates ci-cd-quality-gates.md:76,mixes strong flow policy with duplicated gate authority surfaces,"keep flow/WIP/DoR/DoD policy, move gate matrices to CI/CD gates and keep links only"
.harmony/cognition/practices/methodology/implementation-guide.index.yml,Aligned,keep,high,false,false,false,false,false,implementation-guide.index.yml:4 schema_version; :6 sections,none,none
.harmony/cognition/practices/methodology/implementation-guide.md,Partially Aligned,remediate,high,true,false,true,false,false,implementation-guide.md:124 profile receipt snippet; :138 transitional_exception_note marked required false,transitional exception note requirement under-specified for pre-1.0 transitional path,make transitional_exception_note required when change_profile=transitional and release_state=pre-1.0
.harmony/cognition/practices/methodology/index.yml,Aligned,keep,high,false,false,false,false,false,index.yml:4 schema_version; :5 files,none,none
.harmony/cognition/practices/methodology/methodology-as-code.md,Partially Aligned,remediate,high,false,true,false,false,false,methodology-as-code.md:44 hardcoded current version; :45 advises no hardcoded downstream version,version narrative can go stale and conflict with dynamic version rule,replace fixed literal with computed/current-from-version.txt wording or add sync check
.harmony/cognition/practices/methodology/migrations/README.md,Aligned,keep,high,false,false,false,false,false,migrations/README.md:43 default policy; :93 required plan sections,none,none
.harmony/cognition/practices/methodology/migrations/ci-gates.md,Partially Aligned,remediate,high,false,true,false,false,false,migrations/ci-gates.md:53 output pattern wildcard includes README; output/reports/migrations/README.md exists,evidence bundle pattern too broad and can weaken deterministic gate intent,tighten required artifact pattern to date-prefixed bundle outputs only
.harmony/cognition/practices/methodology/migrations/doctrine.md,Aligned,keep,high,false,false,false,false,false,migrations/doctrine.md:36 release maturity gate; :45 selection method,none,none
.harmony/cognition/practices/methodology/migrations/exceptions.md,Aligned,keep,high,false,false,false,false,false,migrations/exceptions.md:42 transitional exception note; :30 exception requirements,none,none
.harmony/cognition/practices/methodology/migrations/index.yml,Aligned,keep,high,false,false,false,false,false,migrations/index.yml:4 schema_version; :5 files,none,none
.harmony/cognition/practices/methodology/migrations/invariants.md,Aligned,keep,high,false,false,false,false,false,migrations/invariants.md:20 invariants; :31 enforcement artifacts,none,none
.harmony/cognition/practices/methodology/migrations/legacy-banlist.md,Partially Aligned,remediate,high,false,true,false,false,false,migrations/legacy-banlist.md:149 replacement path token stale against orchestration/workflows/manifest.yml:220,one replacement reference target appears stale,update replacement destination path token to current workflow directory
.harmony/cognition/practices/methodology/performance-and-scalability.md,Partially Aligned,move_or_merge,high,true,true,false,false,false,performance-and-scalability.md:20 default budgets overlap reliability-and-ops.md:20 and sandbox-flow.md:36,shared SLO defaults duplicated across multiple artifacts,"keep performance-specific policy here, move shared SLO defaults to canonical reliability surface"
.harmony/cognition/practices/methodology/reliability-and-ops.md,Partially Aligned,move_or_merge,high,true,true,false,false,false,reliability-and-ops.md:20 shared SLO defaults repeated in performance/sandbox docs,SLO baseline ownership split across files,retain canonical SLO defaults here and replace duplicated numeric thresholds elsewhere with links
.harmony/cognition/practices/methodology/risk-tiers.md,Partially Aligned,remediate,high,true,true,false,false,false,risk-tiers.md:159/282/505 large inline templates duplicate templates/spec-tier*.yaml contracts,embedded template contracts duplicate canonical YAML template surfaces,keep tier semantics/gates; summarize template fields and link to canonical template files
.harmony/cognition/practices/methodology/sandbox-flow.md,Partially Aligned,remediate,high,true,false,false,false,false,sandbox-flow.md:36 repeats baseline defaults; :57 responsibilities wording could imply authority conflict,duplicated thresholds and subtle wording ambiguity around promotion authority sentence,replace repeated thresholds with links and align responsibility wording to crosswalk authority sentence
.harmony/cognition/practices/methodology/security-baseline.md,Partially Aligned,remediate,high,true,false,false,false,false,security-baseline.md:27-36 mixes security severity and non-security perf/bundle checks,severity threshold language and non-security controls are blended,explicitly bind tier severity thresholds and shift perf/bundle ownership to perf/CI gate docs
.harmony/cognition/practices/methodology/spec-first-planning.md,Partially Aligned,remediate,high,true,false,false,false,false,spec-first-planning.md:132 provider-specific command; :340 legacy one-pager still embedded,provider-specific command in core flow and superseded legacy template in active guidance,provider-neutral command placeholders and move legacy template to historical appendix
.harmony/cognition/practices/methodology/templates/README.md,Partially Aligned,remediate,high,true,true,false,false,false,templates/README.md:74 claims _review common all tiers vs spec-tier3.yaml:738 oversight_touchpoints; templates/README.md:84 threat_analysis label vs spec-tier3.yaml:324 threat_model,cross-file field-name drift for tier3 review/threat sections,align README table/checklists to tier3 canonical keys or explicitly define aliases
.harmony/cognition/practices/methodology/templates/index.yml,Aligned,keep,high,false,false,false,false,false,templates/index.yml:4 schema_version; :5 files,none,none
.harmony/cognition/practices/methodology/templates/spec-tier1.yaml,Aligned,keep,high,false,false,false,false,false,templates/spec-tier1.yaml:29 governance; :57 acp receipt block,none,none
.harmony/cognition/practices/methodology/templates/spec-tier2.yaml,Partially Aligned,remediate,high,true,false,false,false,false,spec-tier2.yaml:30 governance block lacks explicit impact-map/compliance-receipt/exceptions-escalations contract fields,governance-impacting required section coverage is implicit rather than explicit,"add conditional explicit blocks for implementation_plan, impact_map, compliance_receipt, exceptions_escalations"
.harmony/cognition/practices/methodology/templates/spec-tier3.yaml,Partially Aligned,remediate,high,true,false,false,false,false,spec-tier3.yaml:31 governance block similarly implicit for required governance-impacting sections; README drift at templates/README.md:74,same explicit governance-section coverage issue plus README field-name drift,add conditional explicit governance-impacting blocks and align README naming
.harmony/cognition/practices/methodology/tooling-and-metrics.md,Partially Aligned,move_or_merge,high,true,true,false,false,false,tooling-and-metrics.md:43 CI health targets duplicate ci-cd-quality-gates.md:191,CI objective ownership duplicated,"keep metrics framework here, merge canonical CI numeric targets into CI/CD gates and reference"
